match_id,type_evenement,equipe_couleur,equipe_id,joueur,equipe_joueur,joueur_id,minute,xg,csc,situation,position_x,position_y
4514112,AttemptSaved,#055DC6,8583,Clement Akpa,Auxerre,1388678,28,0.015570967458188534,False,FromCorner,98.24561403470001,43.3001273835
4514112,AttemptSaved,#E01D13,8639,Bafodé Diakité,Lille,979752,32,0.10479341447353363,False,FromCorner,97.95614035039999,34.68625
4514112,AttemptSaved,#E01D13,8639,Ismaily,Lille,185949,32,0.03209283947944641,False,FromCorner,83.6111650488,43.16
4514112,AttemptSaved,#E01D13,8639,Rémy Cabella,Lille,199834,39,0.17313678562641144,False,RegularPlay,92.7,30.05190476
4514112,AttemptSaved,#055DC6,8583,Gideon Mensah,Auxerre,771630,39,0.03562876582145691,False,FastBreak,93.6,50.3765605078
4514112,AttemptSaved,#055DC6,8583,Hamed Traorè,Auxerre,875672,40,0.11950863897800446,False,FromCorner,100.3534482762,29.379523808000002
4514112,AttemptSaved,#055DC6,8583,Assane Dioussé,Auxerre,612212,45,0.0357583686709404,False,ThrowInSetPiece,83.49854368960001,24.955625
4514112,Miss,#055DC6,8583,Jubal,Auxerre,493731,45,0.08680134266614914,False,FromCorner,98.92105263139999,29.715714284
4514112,AttemptSaved,#E01D13,8639,Jonathan David,Lille,939569,58,0.7884,False,Penalty,94,34
4514112,Miss,#055DC6,8583,Hamed Traorè,Auxerre,875672,60,0.011732800863683224,False,FastBreak,50.7716666691,33.92375
4514112,AttemptSaved,#E01D13,8639,Hákon Arnar Haraldsson,Lille,1044470,64,0.09467310458421707,False,RegularPlay,94.09649122639999,25.4759375
4514112,AttemptSaved,#055DC6,8583,Gaëtan Perrin,Auxerre,708435,71,0.019277632236480713,False,RegularPlay,76.966504856,30.492499999999996
4514112,AttemptSaved,#055DC6,8583,Lassine Sinayoko,Auxerre,923196,71,0.07720863074064255,False,RegularPlay,89.6,26.774047619
4514112,Miss,#055DC6,8583,Jubal,Auxerre,493731,72,0.09855841845273972,False,FromCorner,98.92105263139999,37.2025
4514112,Miss,#055DC6,8583,Gaëtan Perrin,Auxerre,708435,74,0.13236147165298462,False,FastBreak,93.2,39.545000001
